genome	coverage	breadth	nucl_diversity	length	true_scaffolds	detected_scaffolds	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_rarefied	conANI_reference	popANI_reference	iRep	iRep_GC_corrected	linked_SNV_count	SNV_distance_mean	r2_mean	d_prime_mean	consensus_divergent_sites	population_divergent_sites	SNS_count	SNV_count	filtered_read_pair_count	reads_unfiltered_pairs	reads_mean_PID	reads_unfiltered_reads	divergent_site_count
DJS64_225.01_Staphylococcus_aureus_250K	13.03339932	0.99986676	0.000209249	2731912	20	20	12	6.266034879	0.003793829	0.985071261	0.999989956	4.63E-06	0.999999628	1	1.693068605	FALSE	5	15	0.078225482	1	1	0	0	34	237354	249593	0.997278837	499912	34
DJS59_145.01_Escherichia_coli_250K	6.300400259	0.993064659	0.000373981	5155911	88	88	6	6.336167518	0.002795223	0.658098443	0.996163725	6.56E-05	0.999974654	0.999997937	2.04591844	FALSE	57	18.54385965	0.80885598	1	86	7	7	264	238137	248177	0.997910588	497282	271
DJS73_1002.01_Enterococcus_Faecalis_250K	12.02791805	0.999896084	0.000230529	2858079	31	31	11	4.892093354	0.002896872	0.98058801	0.999975593	2.91E-05	0.999998573	1	1.51063976	FALSE	6	30.33333333	1	1	4	0	0	48	235514	249061	0.99797354	499274	48
DJS53_96.01_MRSA_250K	12.28661685	0.999874739	0.000210832	2786190	22	22	12	4.602690629	0.002759623	0.979964396	0.999980578	0.000600922	0.999999267	1	1.672496354	FALSE	13	25.84615385	0.736452108	1	2	0	0	98	238871	249004	0.998120932	498833	98
DJS50_86.01_MRSA_250K	11.29166742	0.999745374	0.000220626	2918005	31	31	11	7.188385022	0.0042126	0.962236528	0.999953243	0.000820404	0.999992521	1	1.73737891	FALSE	43	42.04651163	0.657789148	1	21	0	0	112	239280	249516	0.998121681	500112	112
DJS68_340.01_Klebsiella_pneumonia_250K	6.276246842	0.985816743	0.000535972	5699819	83	83	5	11.09452622	0.004653842	0.582082343	0.996081028	3.58E-05	0.999987341	0.999999096	2.494162029	FALSE	216	40.01851852	0.458095843	0.96608859	42	3	3	224	236125	246881	0.997338586	495910	227
DJS51_87.01_Beta_Hemolytic_Strep_Group_B_250K	16.16147978	0.999892667	0.000202726	2096281	36	36	16	6.22583148	0.004307446	0.997473144	0.999999366	1.82E-05	0.999998087	1	1.278355364	FALSE	6	7.166666667	1	1	4	0	0	34	239535	248587	0.998291108	498392	34
DJS81_1117.01_Enterobacter_cloacae_250K	6.724165237	0.995196083	0.000414509	5014658	67	67	6	5.48798718	0.002453994	0.718550298	0.997361218	5.50E-05	0.999992507	0.999999722	1.991950812	FALSE	38	29.73684211	0.560768671	1	27	1	1	131	234287	248813	0.998191247	498934	132
DJS60_151.01_Beta_Hemolytic_Strep_Group_B_250K	16.94472434	0.999944624	0.000196649	2040609	19	19	16	7.213791152	0.00505462	0.998264734	0.999999682	5.23E-05	0.999998036	1	1.315399662	FALSE	8	15.75	1	1	4	0	0	35	238319	249295	0.998292632	499734	35
DJS54_130.01_Enterococcus_faecalis_250K	11.33509142	0.999010476	0.000198844	3015592	34	34	10	7.23571701	0.004171436	0.950407084	0.999955002	1.82E-06	0.999991277	0.999999651	1.971879943	FALSE	56	29.75	0.553524457	1	25	1	1	104	242023	247050	0.994278279	494632	105
DJS62_175.01_Beta_Hemolytic_Strep_Group_B_250K	15.99827561	0.999568423	0.000204505	2085377	90	90	15	17.7635309	0.01235434	0.99495343	0.999999267	1.48E-05	0.999997108	1	1.259444972	FALSE	10	13.5	0.900621118	1	6	0	0	59	236401	247094	0.997892629	496579	59
DJS35_273.01_Serratia_marcescens_SCV_250K	9.378755622	0.99863786	0.000564597	5032522	18	18	9	5.274822862	0.00235218	0.882580146	0.999746828	0.003785958	0.999998649	0.999999775	1.766110046	FALSE	17	14.88235294	0.944272446	1	6	1	1	91	245425	249035	0.998218002	498947	92
DJS69_362.01_Staphylococcus_aureus_250K	13.13116895	0.999907709	0.000193423	2708827	13	13	12	6.212374777	0.003776379	0.983778588	0.999990786	2.27E-06	1	1	1.752918774	FALSE					0	0	0	28	236689	249363	0.998013589	499570	28
DJS79_1057.01_Klebsiella_Pneumoniae_250K	5.888679243	0.988983877	0.000341659	5459997	63	63	5	5.531782274	0.002370121	0.594700876	0.994481801	0.000545914	0.999994765	0.999999692	2.124500998	FALSE	84	22.28571429	0.955609807	1	17	1	1	207	233249	246856	0.998129308	494907	208
DJS65_254.01_Staphylococcus_aureus_250K	13.65012366	0.99988301	0.000228698	2683994	20	20	13	6.434940822	0.003930771	0.987791701	0.999994173	0.002349418	0.999984535	1	1.776826657	FALSE	156	49.91666667	0.814536741	1	41	0	0	108	237616	249458	0.994752922	499775	108
DJS70_396.01_Staphylococcus_aureus_250K	12.11934527	0.999732816	0.000234438	2840741	53	53	12	5.376570273	0.00319596	0.97596789	0.999977486	0.00135251	0.999992786	1	1.723348555	FALSE	183	62.83606557	0.578837288	1	20	0	0	105	233181	247946	0.997209751	497430	105
DJS30_297.01_Escherichia_coli_250K	8.445681968	0.998785168	0.000542987	5038557	57	57	8	4.545383186	0.002027259	0.857899792	0.999422924	3.91E-05	0.999991209	0.999999537	1.717494495	FALSE	18	13.5	0.89084852	1	38	2	2	196	244074	249296	0.997817638	499747	198
DJS33_205.01_Serratia_marcescens_250K	7.62210465	0.993391334	0.000618545	5373702	75	75	6	7.56791328	0.003269237	0.716843435	0.998805847	0.000984649	0.999991952	0.999999221	2.363691926	FALSE	119	44.8487395	0.39273128	0.950152585	31	3	3	145	240346	248432	0.997813813	498156	148
DJS57_137.01_Serratia_Marcescens_250K	5.758017973	0.976937575	0.000664229	5417080	74	74	4	9.65690719	0.004154795	0.43393378	0.993806964	8.85E-05	0.999986387	0.999998298	2.165040224	FALSE	112	24.74107143	0.466968925	1	32	4	4	190	243523	247715	0.998209517	496550	194
